Fund Name,Verified,Logo URL,Local Logo Path,LinkedIn,Website,Who we are,Value add,Firm type,Global HQ,Branch office #1,Branch office #2,Branch office #3,Branch office #4,Branch office #5,Funding requirements,Funding stages,Lead,Check Size Min,Check Size Max,Check size,Target countries,Team,Source Page,Profile URL,Twitter,Who I am,Application periodicity,Typical terms,Time to money,Typical fee
500 Global,TRUE,./images/funds/rechDQJRRARuN00is.jpg,logos/500_Global.jpg,https://www.linkedin.com/company/500global/,https://500.co/,,,VC,"814 Mission Street, San Francisco, CA 94103

+
−
Leaflet",,,,,,"We invest in companies in markets where technology, innovation, and capital can unlock long-term value and drive economic growth.",1. Idea or Patent; 2. Prototype; 3. Early Revenue; 4. Scaling; 5. Growth,,150000,2500000,$150k to $2.5M,"USA; Mexico; India; Pakistan; Colombia; Brazil; Afghanistan; Albania; Algeria; Angola; Andorra; Antigua and Barbuda; Armenia; Argentina; Australia; Austria; Azerbaijan; Bahamas; Bahrain; Barbados; Bangladesh; Belarus; Belgium; Belize; Benin; Bhutan; Bolivia; Bosnia-H; Botswana; Brunei; Bulgaria; Burkina Faso; Burundi; Cabo Verde; Cambodia; Cameroon; Canada; Central African Republic; Chad; Chile; China; Comoros; Congo (Congo-Brazzaville); Costa Rica; Côte d'Ivoire; Croatia; Cuba; Cyprus; Czech Republic; DRC Congo; Denmark; Djibouti; Dominica; Dominican Republic; Ecuador; Egypt; El Salvador; Equatorial Guinea; Eritrea; Estonia; Eswatini (fmr. ""Swaziland""); Ethiopia; Fiji; Finland; France; Gabon; Gambia; Georgia; Germany; Ghana; Greece; Grenada; Guatemala; Guinea; Guinea-Bissau; Guyana; Haiti; Holy See; Honduras; Hong Kong; Hungary; Iceland; Indonesia; Iran; Iraq; Ireland; Israel; Italy; Jamaica; Japan; Jordan; Kazakhstan; Kenya; Kiribati; Kuwait; Kyrgyzstan; Laos; Latvia; Lebanon; Lesotho; Liberia; Liechtenstein; Lithuania; Luxembourg; Lybia; Madagascar; Malawi; Malaysia; Maldives; Mali; Malta; Marshall Islands; Mauritania; Mauritius; Micronesia; Moldova; Monaco; Mongolia; Montenegro; Morocco; Mozambique; Myanmar; Namibia; Nauru; Nepal; Netherlands; New Zealand; Nicaragua; Niger; Nigeria; North Korea; North Macedonia; Norway; Oman; Palau; Palestine; Panama; Papua New Guinea; Paraguay; Peru; Philippines; Poland; Portugal; Qatar; Romania; Russia; Rwanda; Saint Vincent and the Grenadines; Samoa; San Marino; Sant Kitts and Nevis; Sant Lucia; Sao Tome and Principe; Saudi Arabia; Senegal; Serbia; Seychelles; Sierra Leone; Singapore; Slovakia; Slovenia; Solomon Islands; Somalia; South Africa; South Korea; South Sudan; Spain; Sri Lanka; Sudan; Suriname; Sweden; Switzerland; Syria; Taiwan; Tajikistan; Tanzania; Thailand; Timor-Leste; Togo; Tonga; Trinidad and Tobago; Tunisia; Turkey; Turkmenistan; Tuvalu; Uganda; UK; Ukraine; UAE; Uruguay; Uzbekistan; Vanuatu; Venezuela; Vietnam; Yemen; Zambia; Zimbabwe",Vijay Rajendran (Portfolio Success); Kristen Cooper (Other); Pedro Vieira (Partner); Oksana Vodonos (Associate); Anna Saltykova (Portfolio Success); Demola Adegbite (Partner),1,fund/500%20Global,,,,,,
Faber,TRUE,./images/funds/recvQUclFdoHPMQDz.jpg,logos/Faber.jpg,https://www.linkedin.com/company/faber-vc,https://faber.vc/,"Faber is a Lisbon-based venture capital firm investing in outstanding entrepreneurs who innovate at the intersection of science and technology to drive digital transformation and climate action.
Faber combines a specialist focus on deep tech early-stage startups with dedicated funds, investment teams and expert advisors to actively help founders.",,VC,"Praça da Alegria, 1, 2nd floor, 1250-004 Lisbon

+
−
Leaflet",,,,,,"We invest in early stage B2B, deep-tech focused teams, who want to drive digital transformation (with AI/ Data) and climate action (with special focus on the ocean), with potential for scalable distribution and global footprint with a preference for teams with a presence in Southern Europe.",1. Idea or Patent; 2. Prototype; 3. Early Revenue,,100000,2000000,$100k to $2M,Austria; Belgium; Bulgaria; Croatia; Czech Republic; Denmark; Estonia; Finland; France; Germany; Greece; Ireland; Italy; Latvia; Lithuania; Luxembourg; Malta; Netherlands; Portugal; Romania; Slovakia; Slovenia; Spain; Sweden,Inês Pinho (Associate),1,fund/Faber,https://www.twitter.com/faber_vc,,,,,
Smartfin,TRUE,./images/funds/recWdZo2WWc86vSG0.jpg,logos/Smartfin.jpg,https://www.linkedin.com/company/smartfinvc/,https://www.smartfinvc.com,We invest in promising B2B technology companies across Europe,Our complementary team combines a successful private equity track record and exceptional entrepreneurial experience.,VC,"Brussels, Belgium",,,,,,We invest in promising B2B technology companies across Europe that have achieved initial signs of product-market fit.,3. Early Revenue; 4. Scaling; 5. Growth,,1000000,20000000,$1M to $20M,Belgium; Denmark; Finland; France; Germany; Italy; Luxembourg; Netherlands; Spain; Sweden; Switzerland; Turkey,Harry Haeck (Partner); Toon De Neef (Associate); Thomas Depuydt (GP/MD); Jean-Baptiste Maenhout (Associate); Tom De Bondt (Associate),1,fund/Smartfin,,,,,,
Kelston Smith,TRUE,./images/funds/recbhS50kM0yD9b50.jpg,logos/Kelston_Smith.jpg,https://www.linkedin.com/in/kelston-s-581b173/,https://www.plantec.io/,,"Three core areas of focus:
• Tech Studio: Supporting early-stage founders (cash or sweat equity)
🔗 plantec.io/studio
• Advisory & Tech resource services
🔗 plantec.io/scale-up
• Direct investments & FO/VC mandates
🔗 plantec.io/investment",Solo angel,"44 Great Cumberland Place, Marylebone, London, W1H 7BS

+
−
Leaflet",,,,,,"I invest in the founders and a strong team, typically with the MVP and some transaction albeit some MRR depending on the industry. Typical disruptive concept or B2B, Web3, Climate, FinTech, Telco or creative economy and AI.",3. Early Revenue; 4. Scaling; 5. Growth,,5000,100000,$5k to $100k,Ethiopia; Ghana; Nigeria; Rwanda; Canada; USA; Estonia; France; Germany; Greece; Ireland; Italy; Portugal; Spain; Sweden; UK; Kuwait; Qatar; Saudi Arabia; Turkey; UAE,,1,fund/Kelston%20Smith,,"Plantec combines creative software expertise with a full-service venture studio model — supporting everything from concept development to delivery. Some clients engage for advisory work, others for technical builds, and in certain cases, Plantec invests directly or supports fundraising efforts via its FO and VC mandates.",,,,
Severin Hämmerl,TRUE,./images/funds/recqrIkofeb4Oz3xp.jpg,logos/Severin_Hämmerl.jpg,https://linkedin.com/in/haemmerl/,https://trinityimpact.org/vc,,"On your side (as a fellow human)…
Early-stage startup support
Actionable Network",Solo angel,"Munich, Germany",,,,,,"I invest in seed-stage, deep-tech startups
> with extraordinary net-positive impact on climate, health, and society.
& partner with founders
> who also want to see brokenness restored and all of humankind flourish, while striving to balance huge ambitions with humility.",1. Idea or Patent,,5000,10000,$5k to $10k,Germany,,1,fund/Severin%20H%C3%A4mmerl,,Severin,,,,
Lukkap Venture Lab,TRUE,./images/funds/recMaAujdPSjRs8b1.jpg,logos/Lukkap_Venture_Lab.jpg,https://www.linkedin.com/company/lukkap/mycompany/,https://www.lukkap.com/venture-lab/,"We are a VC fund born inside a consulting firm. That is why we not only offer investment, but also provide (for free) our human capital (consultancy partners, directors and managers) and our consultancy network.","We help in 4 ways:
1- Money, as every other VC (tickets of approximately 150k)
2- Consulting firm resources, meaning guidance from top partners, directors and managers with specific expertise in different fields or business challenges
3- Consulting firm network, connecting our extensive base of clients and partners with our startups (C-level executives from all kind of companies)
4- Central services, helping with recruitment, finance, accounting...",VC,"Paseo Castellana 82, 1A, Madrid, 28046, Spain

+
−
Leaflet",,,,,,"We invest in early stage startups that have already developed a product with a market fit. Our pre-money valuation limit is around $4M.
We invest in all kind of industries, except crypto, web3 and similar.",1. Idea or Patent; 2. Prototype; 3. Early Revenue,Sometimes,50000,150000,$50k to $150k,Spain,,1,fund/Lukkap%20Venture%20Lab,,,,,,
Stephen Industries,TRUE,./images/funds/reclLTDW5YReCB3zA.jpg,logos/Stephen_Industries.jpg,https://www.linkedin.com/company/stephen-industries/,https://www.stephenindustries.com/,"Stephen Industries is a family-owned investment company based in Helsinki, Finland. We fund companies creating innovative Healthtech, Deeptech and Greentech solutions for a better world.

Our vision has been simple since day one: to be the best in the world in what we do. The drive for excellence is deep in the nanofibers of our company.

For the first 30 years, Stephen Industries operated as an industrial holding company founded by serial entrepreneur Kustaa Poutiainen. Our journey towards global success started with subsidiary Picosun – a deep tech company that specializes in atomic layer deposition, founded by Kustaa in 2004.

Throughout the years, Kustaa raised several rounds of growth capital, growing Picosun to over 50 million euros in annual revenues. In June 2022, Picosun’s stock was sold to US-based technology giant Applied Materials Inc. The sale of Picosun catalysed a change of Stephen Industries’ operations, transforming Stephen Industries into an ambitious and experienced investment company in late 2022. In addition to Picosun, we’re currently best known for the central vacuum cleaner manufacturer Puzer and tech ventures such as Hycamite, TILT, Sooma, Fiberwood and Stemsight.","We have extensive experience of bringing a deep tech innovation to market and scaling it internationally. We are also building expertise within medical devices and related regulatory approval processes.
We don't have fixed holding periods and are thus suitable investors for companies and founders that do not want to have to plan for an exit in 3-7 years' time. Additionally we have deep pockets and can keep funding a company through its stages from startup to growth company to listed entity",Family office,"Mikonkatu 9, 00100 Helsinki, Finland

+
−
Leaflet",,,,,,"We invest in companies creating innovative Healthtech, Deeptech and Greentech solutions for a better world.",1. Idea or Patent; 2. Prototype; 3. Early Revenue; 4. Scaling; 5. Growth; 6. Pre-IPO,Sometimes,100000,5000000,$100k to $5M,Finland; Sweden; Norway; Estonia; Latvia; Lithuania; Denmark; Poland; Germany; France; UK; Spain; Ireland; Portugal; Italy; Switzerland; Austria,Tor-Oskar Karlberg (Other),1,fund/Stephen%20Industries,,,,,,
Ascendo VC,TRUE,./images/funds/rec9skLoYah4AtTmj.jpg,logos/Ascendo_VC.jpg,https://www.linkedin.com/company/ascendo-venture-capital/,https://ascendo.vc,We are a venture capital firm investing nationwide in early-stage companies led by visionary underrepresented founders. Our investment strategy targets disruptive technologies that address the needs of growing demographic segments and empower women as catalysts of economic growth.,"We are a diverse, team of investors, founders and operators, with the experience, deep networks, and cultural affinity to capitalize on this opportunity.",VC,"South Miami, FL",,,,,,"We invest in Seed to Series A
Companies led by founders from underrepresented segments.
Technology-based business driving transformation to improve access within growing demographic segments that are underserved
Industry sectors FinTech, EdTech, Future of Work, HealthTech, and Enterprise Software
Large and growing market opportunity that promotes equitable and inclusive outcomes
Post revenue",3. Early Revenue,Never,100000,500000,$100k to $500k,USA,Claudia Ortiz (Scout); Emil Chaia (Analyst),1,fund/Ascendo%20VC,,,,,,
Mehmet Talas,TRUE,./images/funds/recHhgwhQDSEKQ8SK.jpg,logos/Mehmet_Talas.jpg,https://www.linkedin.com/in/mehmettalas/,,,"Very good knowledge of the start-up ecosystem in France
10 years' expertise in start-up financing",Solo angel,"Paris, France",,,,,,I invest in SaaS B2B / AI / Data with strong team and early revenue.,3. Early Revenue,,10000,50000,$10k to $50k,France,,1,fund/Mehmet%20Talas,,Startup advisory & business angel,,,,
Earth Venture Capital,TRUE,./images/funds/recV2opUPGBdeMm3U.jpg,logos/Earth_Venture_Capital.jpg,https://www.linkedin.com/company/earth-vc/,https://www.earth.vc/,"Earth VC backs outlier founders using deep tech to decarbonize Emerging Asia and reshape industries. We invest where science meets scale, turning climate challenges into massive economic opportunities. Because fixing the planet isn’t just necessary, it’s the next big business frontier.",We actively help founder entering Asia with ease.,VC,"102 Nguyen Van Huong, Thao Dien Ward, 700000 Thu Duc City, Ho Chi Minh City, Ho Chi Minh City, VN

+
−
Leaflet",,,,,,"We invest in deep tech focusing on energy transition (renewable energy, energy storage, smart grids, green hydrogen, advanced nuclear (SMRs)
Energy efficiency, building optimization) and green manufacturing (circular economy, waste-to-value, clean chemicals, new materials), Pre-seed to Series A, $500K - $1M initial, up to $2M follow-on. Global mandate with Emerging Asia expansion potential. Expected Returns: 10-15% minimum, targeting 10x capital management, 100x value creation",1. Idea or Patent; 2. Prototype; 3. Early Revenue,Sometimes,500000,1000000,$500k to $1M,USA; Hong Kong; Singapore; Finland; France; Germany; Sweden; UK; Israel; Australia,Tam To (Portfolio Success),1,fund/Earth%20Venture%20Capital,,,,,,
